tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
Goldeneye,#251,"Acción, Aventura, Thriller",1995,58.000.000$,130 minutos,Reino Unido,Goldeneye
The Fall,#250,"Absolute Entertainment, TriPictures",2006,,117 minutos,EE.UU.,The Fall
Hannah and Her Sisters,#247,"Comedia, Drama, Romance",1986,6.400.000$,106 minutos,EE.UU.,Hannah and Her Sisters
Shichinin no samurai,#244,"Acción, Guerra, Aventura",1954,2.000.000$,205 minutos,Japón,Shichinin no samurai
,#249,,2004,,,Saw,
,#257,,2015,,,Creed,
,#241,,1997,,,Tomorrow Never Dies,
The Hours,#248,Drama,2002,25.000.000$,114 minutos,EE.UU.,The Hours
Guardians of the Galaxy 3,#243,,2020,Pendiente de calificación por edades,,EE.UU.,Guardians of the Galaxy 3
Cat on a Hot Tin Roof,#245,"Drama, Romance",1958,3.000.000$,108 minutos,EE.UU.,Cat on a Hot Tin Roof
The Phantom of the Opera,#246,"Drama, Música, Romance",2004,70.000.000$,143 minutos,Reino Unido,The Phantom of the Opera
Home Alone,#239,20th Century Fox,1990,,103 minutos,EE.UU.,Home Alone
,#240,,2013,,,The Conjuring,
A Beautiful Mind,#237,"Biografía, Drama",2001,60.000.000$,135 minutos,EE.UU.,A Beautiful Mind
,#238,"Drama, Misterio, Romance",1994,,,Trois couleurs: Rouge,
Bride of Chucky,#242,Universal Pictures,1998,,89 minutos,EE.UU.,Bride of Chucky
Vratné lahve,#236,Karma Films,2007,,100 minutos,República Checa,Vratné lahve
,#235,"Aventura, Acción",1981,,,Raiders of the Lost Ark,
Fargo,#234,"Crimen, Drama, Thriller",1996,7.000.000$,98 minutos,EE.UU.,Fargo
Sleuth,#233,,1972,,139 minutos,Reino Unido,Sleuth
Looking for Alibrandi,#232,,2000,,100 minutos,Australia,Looking for Alibrandi
,#231,,1999,,,Star Wars: Episode I - The Phantom Menace,
,#227,,2015,,,Fast & Furious 7,
Tesis,#225,,1996,,125 minutos,España,Tesis
,#228,,1999,,,The World Is Not Enough,
Night Train to Lisbon,#230,"Misterio, Romance, Thriller",2013,7.700.000€,111 minutos,Alemania,Night Train to Lisbon
